Title,Album,Lyrics
22,Red (Deluxe Edition),"[Verse 1]
It feels like a perfect night
To dress up like hipsters
And make fun of our exes, uh-uh, uh-uh
It feels like a perfect night
For breakfast at midnight
To fall in love with strangers, uh-uh, uh-uh

[Pre-Chorus]
Yeah
We're happy, free, confused, and lonely at the same time
It's miserable and magical, oh, yeah
Tonight's the night when we forget about the deadlines
It's time, oh-oh

[Chorus]
I don't know about you, but I'm feeling 22
Everything will be alright if you keep me next to you
You don't know about me, but I'll bet you want to
Everything will be alright if we just keep dancing like we're
22, 22

[Verse 2]
It seems like one of those nights
This place is too crowded
Too many cool kids, uh-uh, uh-uh
(Who's Taylor Swift, anyway? Ew)
It seems like one of those nights
We ditch the whole scene
And end up dreaming
Instead of sleeping

[Pre-Chorus]
Yeah
We're happy, free, confused, and lonely in the best way
It's miserable and magical, oh, yeah
Tonight's the night when we forget about the heartbreaks
It's time, oh-oh

[Chorus]
(Hey!)
I don't know about you, but I'm feeling 22
Everything will be alright (Ooh) if you keep me next to you
You don't know about me, but I'll bet you want to
Everything will be alright if (Alright)
We just keep dancing like we're 22 (Oh, oh, oh, oh, oh)
22 (I don't know about you)
22, 22

[Bridge]
It feels like one of those nights
We ditch the whole scene
It feels like one of those nights
We won't be sleeping
It feels like one of those nights
You look like bad news
I gotta have you
I gotta have you
Ooh, ooh, yeah

[Chorus]
(Hey!)
I don't know about you, but I'm feeling 22
Everything will be alright if (Ooh) you keep me next to you
You don't know about me, but I'll bet you want to
Everything will be alright if we just keep dancing like we're
22 (Whoa, oh)
22 (Dancing like)
22 (Yeah, yeah), 22, (Yeah, yeah, yeah)

[Outro]
It feels like one of those nights
We ditch the whole scene
It feels like one of those nights
We won't be sleeping
It feels like one of those nights
You look like bad news
I gotta have you
I gotta have you"
All Too Well,Red (Deluxe Edition),"[Intro]
I walked through the door with you
The air was cold
But something 'bout it felt like home somehow, and I
Left my scarf there at your sister's house
And you've still got it
In your drawer, even now

[Verse 1]
Oh, your sweet disposition
And my wide-eyed gaze
We're singing in the car getting lost upstate
Autumn leaves falling down like pieces into place
And I can picture it after all these days

[Pre-Chorus 1]
And I know it's long gone and
That magic's not here no more
And I might be okay, but I'm not fine at all
Oh, oh, oh

[Chorus 1]
'Cause there we are again on that little town street
You almost ran the red 'cause you were looking over at me
Wind in my hair, I was there, I remember it all too well

[Verse 2]
Photo album on the counter
Your cheeks were turning red
You used to be a little kid with glasses in a twin-sized bed
And your mother's telling stories 'bout you on the tee-ball team
You tell me 'bout your past, thinking your future was me

[Pre-Chorus 2]
And I know it's long gone and
There was nothing else I could do
And I forget about you long enough
To forget why I needed to

[Chorus 2]
'Cause there we are again in the middle of the night
We're dancing round the kitchen in the refrigerator light
Down the stairs, I was there, I remember it all too well, yeah

[Bridge]
Maybe we got lost in translation
Maybe I asked for too much
But maybe this thing was a masterpiece
'Til you tore it all up
Running scared, I was there, I remember it all too well
And you call me up again just to break me like a promise
So casually cruel in the name of being honest
I'm a crumpled up piece of paper lying here
'Cause I remember it all, all, all
Too well

[Verse 3]
Time won't fly, it's like I'm paralyzed by it
I'd like to be my old self again
But I'm still trying to find it
After plaid shirt days and nights when you made me your own
Now you mail back my things and I walk home alone
But you keep my old scarf
From that very first week
'Cause it reminds you of innocence
And it smells like me
You can't get rid of it
'Cause you remember it all too well, yeah

[Chorus 3]
'Cause there we are again when I loved you so
Back before you lost the one real thing you've ever known
It was rare, I was there, I remember it all too well

[Outro]
Wind in my hair, you were there, you remember it all
Down the stairs, you were there, you remember it all
It was rare, I was there, I remember it all too well"
Begin Again,Red (Deluxe Edition),"[Verse 1]
Took a deep breath in the mirror
He didn't like it when I wore high heels, but I do
Turn the lock and put my headphones on
He always said he didn't get this song but I do, I do
Walked in, expecting you'd be late
But you got here early and you stand and wave
I walk to you
You pull my chair out and help me in
And you don't know how nice that is, but I do

[Chorus]
And you throw your head back laughing like a little kid
I think it's strange that you think I'm funny 'cause he never did
I've been spending the last eight months
Thinking all love ever does is break and burn and end
But on a Wednesday in a café, I watched it begin again

[Verse 2]
You said you never met one girl who
Had as many James Taylor records as you, but I do
We tell stories and you don't know why
I'm coming off a little shy, but I do

[Chorus]
But you throw your head back laughing like a little kid
I think it's strange that you think I'm funny 'cause he never did
I've been spending the last eight months
Thinking all love ever does is break and burn and end
But on a Wednesday in a café, I watched it begin again

[Bridge]
And we walked down the block to my car
And I almost brought him up
But you start to talk about the movies
That your family watches every single Christmas
And I want to talk about that
And for the first time, what's past is past

[Chorus]
'Cause you throw your head back laughing like a little kid
I think it's strange that you think I'm funny 'cause he never did
I've been spending the last eight months
Thinking all love ever does is break and burn and end
But on a Wednesday in a café, I watched it begin again

[Outro]
But on a Wednesday in a café, I watched it begin again"
Come Back... Be Here,Red (Deluxe Edition),"[Verse 1]
You said it in a simple way
4 AM, the second day
How strange that I don't know you at all
Stumbled through the long goodbye
One last kiss, then catch your flight
Right when I was just about to fall

[Pre-Chorus 1]
I told myself, don't get attached
But in my mind, I play it back
Spinning faster than the plane that took you

[Chorus]
And this is when the feeling sinks in
I don't wanna miss you like this
Come back, be here, come back, be here
I guess you're in New York today
I don't wanna need you this way
Come back, be here, come back, be here

[Verse 2]
The delicate beginning rush
The feeling you can know so much
Without knowing anything at all
And now that I can put this down
If I had known what I know now
I never would've played so nonchalant

[Pre-Chorus 2]
Taxi cabs and busy streets
That never bring you back to me
I can't help but wish you took me with you

[Chorus 2]
And this is when the feeling sinks in
I don't wanna miss you like this
Come back, be here, come back, be here
I guess you're in London today
And I don't wanna need you this way
Come back, be here, come back, be here

[Bridge]
This is falling in love in the cruelest way
This is falling for you when you are worlds away
In New York, be here
But you're in London, and I break down
'Cause it's not fair that you're not around

[Chorus]
This is when the feeling sinks in
I don't wanna miss you like this
Come back, be here, come back, be here
I guess you're in New York today
And I don't wanna need you this way
Come back, be here, come back, be here

[Outro]
Oh-oh, oh-oh
I don't wanna miss you like this
Oh-oh, oh-oh
Come back, be here
Come back, be here"
Everything Has Changed,Red (Deluxe Edition),"[Intro: Ed Sheeran]
(You good to go?)

[Verse 1: Taylor Swift]
All I knew this morning when I woke
Is I know something now
Know something now I didn't before
And all I've seen since 18 hours ago
Is green eyes and freckles and your smile
In the back of my mind, making me feel like

[Pre-Chorus: Taylor Swift &  Ed Sheeran]
I just wanna know you better
Know you better, know you better now
I just wanna know you better
Know you better, know you better now
I just wanna know you better
Know you better, know you better now
I just wanna know you, know you, know you

[Chorus: Taylor Swift & Ed Sheeran]
'Cause all I know is we said, ""Hello""
And your eyes look like coming home
All I know is a simple name
Everything has changed
All I know is you held the door
You'll be mine and I'll be yours
All I know since yesterday
Is everything has changed

[Verse 2: Ed Sheeran & Taylor Swift]
And all my walls stood tall, painted blue
And I'll take 'em down, take 'em down
And open up the door for you
And all I feel in my stomach is butterflies
The beautiful kind, making up for lost time
Taking flight, making me feel right

[Pre-Chorus: Taylor Swift & Ed Sheeran]
I just wanna know you better
Know you better, know you better now
I just wanna know you better
Know you better, know you better now
I just wanna know you better
Know you better, know you better now
I just wanna know you, know you, know you

[Chorus: Taylor Swift & Ed Sheeran]
'Cause all I know is we said, ""Hello""
And your eyes look like coming home
All I know is a simple name
Everything has changed
All I know is you held the door
You'll be mine and I'll be yours
All I know since yesterday
Is everything has changed

[Bridge: Taylor Swift & Ed Sheeran]
Come back and tell me why
I'm feeling like I've missed you all this time
And meet me there tonight
And let me know that it's not all in my mind

[Pre-Chorus: Taylor Swift]
I just wanna know you better
Know you better, know you better now
I just wanna know you, know you, know you

[Chorus: Taylor Swift & Ed Sheeran]
'Cause all I know is we said, ""Hello""
And your eyes look like coming home
All I know is a simple name
Everything has changed
All I know is you held the door
You'll be mine and I'll be yours
All I know since yesterday
Is everything has changed

[Outro: Taylor Swift]
All I know is we said, ""Hello""
So dust off your highest hopes
All I know is pouring rain
And everything has changed
All I know is a new found grace
All my days, I'll know your face
All I know since yesterday
Is everything has changed"
Girl at Home,Red (Deluxe Edition),"[Intro]
Don't look at me, you got a girl at home
And everybody knows that, everybody knows that, ah-ah
Don't look at me, you got a girl at home
And everybody knows that

[Verse 1]
I don't even know her
But I feel a responsibility to do what's upstanding and right
It's kinda like a code, yeah
And you've been getting closer and closer
And crossing so many lines

[Pre-Chorus]
And it would be a fine proposition
If I was a stupid girl
But, honey, I am no one's exception
This, I have previously learned

[Chorus]
So don't look at me, you got a girl at home
And everybody knows that, everybody knows that, ah-ah
Don't look at me, you got a girl at home
And everybody knows that, everybody knows that
I see you turn off your phone
And now you've got me alone, and I say
Don't look at me, you got a girl at home
And everybody knows that, everybody knows that

[Verse 2]
I just want to make sure
You understand perfectly
You're the kind of man who makes me sad
While she waits up, you chase down the newest thing
And take for granted what you have

[Pre-Chorus]
And it would be a fine proposition
If I was a stupid girl
And, yeah, I might go with it
If I hadn't once been just like her

[Chorus]
So don't look at me, you got a girl at home
And everybody knows that, everybody knows that, ah-ah
Don't look at me, you got a girl at home
And everybody knows that, everybody knows that
I see you turn off your phone
And now you've got me alone, and I say
Don't look at me, you got a girl at home
And everybody knows that, everybody knows that
Oh-oh-oh, oh-oh-oh
Oh-oh-oh, oh-oh-oh

[Bridge]
Call a cab, lose my number
You're about to lose your girl
Call a cab, lose my number
Let's consider this lesson learned

[Chorus]
Don't look at me, you got a girl at home
And everybody knows that, everybody knows that, ah-ah
Don't look at me, you got a girl at home
And everybody knows that, everybody knows that
Want to see you pick up your phone
And tell her you're coming home
Don't look at me, you got a girl at home
And everybody knows that, everybody knows that

[Outro]
Don't look at me, you got a girl at home
And everybody knows that, everybody knows that
It would be a fine proposition
If I hadn't once been just like her"
Holy Ground,Red (Deluxe Edition),"[Verse 1]
I was reminiscing just the other day
While having coffee all alone, and Lord, it took me away
Back to a first-glance feeling on New York time
Back when you fit in my poems like a perfect rhyme
Took off faster than a green light, go
Hey, you skip the conversation when you already know
I left a note on the door with a joke we'd made
And that was the first day

[Chorus]
And darling, it was good
Never looking down
And right there where we stood
Was holy ground

[Verse 2]
Spinning like a girl in a brand new dress
We had this big wide city all to ourselves
We blocked the noise with the sound of, ""I need you""
And for the first time, I had something to lose
And I guess we fell apart in the usual way
And the story's got dust on every page
But sometimes, I wonder how you think about it now
And I see your face in every crowd

[Chorus]
'Cause darling, it was good
Never looking down
And right there where we stood
Was holy ground

[Bridge]
Tonight, I'm gonna dance
For all that we've been through
But I don't wanna dance
If I'm not dancing with you
Tonight, I'm gonna dance
Like you were in this room
But I don't wanna dance
If I'm not dancing with you

[Chorus]
It was good
Never looking down
And right there where we stood
Was holy ground

[Outro]
Tonight, I'm gonna dance
For all that we've been through
But I don't wanna dance
If I'm not dancing with you
Tonight, I'm gonna dance
Like you were in this room
But I don't wanna dance
If I'm not dancing with you"
I Almost Do,Red (Deluxe Edition),"[Verse 1]
I bet this time of night, you're still up
I bet you're tired from a long hard week
I bet you're sitting in your chair by the window
Looking out at the city
And I bet sometimes you wonder about me

[Chorus]
And I just want to tell you
It takes everything in me not to call you
And I wish I could run to you
And I hope you know that
Every time I don't
I almost do, I almost do

[Verse 2]
I bet you think I either moved on or hate you
'Cause each time you reach out, there's no reply
I bet it never, ever occurred to you
That I can't say hello to you
And risk another goodbye

[Chorus]
And I just want to tell you
It takes everything in me not to call you
And I wish I could run to you
And I hope you know that
Every time I don't
I almost do, I almost do

[Bridge]
Oh, we made quite a mess, babe
It's probably better off this way
And I confess, babe
In my dreams, you're touching my face
And asking me if I want to try again with you
And I almost do

[Chorus]
And I just want to tell you
It takes everything in me not to call you
And I wish I could run to you
And I hope you know that
Every time I don't
I almost do, I almost do

[Outro]
I bet this time of night, you're still up
I bet you're tired from a long hard week
I bet you're sitting in your chair by the window
Looking out at the city
And I hope sometimes you wonder about me"
I Knew You Were Trouble.,Red (Deluxe Edition),"[Intro]

[Verse 1]
Once upon a time, a few mistakes ago
I was in your sights, you got me alone
You found me, you found me, you found me
I guess you didn't care, and I guess I liked that
And when I fell hard, you took a step back
Without me, without me, without me

[Pre-Chorus]
And he's long gone, when he's next to me
And I realize the blame is on me

[Chorus]
'Cause I knew you were trouble when you walked in
So, shame on me now
Flew me to places I'd never been
'Til you put me down, oh
I knew you were trouble when you walked in
So, shame on me now
Flew me to places I'd never been
Now I'm lying on the cold hard ground
Oh, oh-oh
Trouble, trouble, trouble
Oh, oh-oh
Trouble, trouble, trouble

[Verse 2]
No apologies, he'll never see you cry
Pretend he doesn't know
That he's the reason why
You're drowning, you're drowning
You're drowning
And I heard you moved on
From whispers on the street
A new notch in your belt is all I'll ever be
And now I see, now I see
Now I see

[Pre-Chorus]
He was long gone when he met me
And I realize the joke is on me, hey!

[Chorus]
I knew you were trouble when you walked in (oh)
So, shame on me now
Flew me to places I'd never been
'Til you put me down, oh
I knew you were trouble when you walked in
So, shame on me now
Flew me to places I'd never been (Yeah)
Now I'm lying on the cold hard ground
Oh, oh-oh (Yeah)
Trouble, trouble, trouble
Oh, oh-oh
Trouble, trouble, trouble

[Bridge]
And the saddest fear
Comes creeping in
That you never loved me
Or her, or anyone, or anything, yeah!

[Chorus]
I knew you were trouble when you walked in
So, shame on me now
Flew me to places I'd never been (Never been)
'Til you put me down, oh
I knew you were trouble when you walked in
(Knew it right there)
So, shame on me now (Knew it right there)
Flew me to places I'd never been (Ooh)
Now I'm lying on the cold hard ground
Oh, oh-oh
Trouble, trouble, trouble (Oh)
Oh, oh-oh
Trouble, trouble, trouble

[Outro]
I knew you were trouble when you walked in
Trouble, trouble, trouble
I knew you were trouble when you walked in
Trouble, trouble, trouble

[Outro]"
Red,Red (Deluxe Edition),"[Verse 1]
Loving him is like driving a new Maserati
Down a dead-end street
Faster than the wind, passionate as sin
Ending so suddenly
Loving him is like trying to change your mind
Once you're already flying through the free fall
Like the colors in autumn, so bright
Just before they lose it all

[Chorus]
Losing him was blue like I'd never known
Missing him was dark grey, all alone
Forgetting him was like
Trying to know somebody you never met
But loving him was red
Loving him was red

[Verse 2]
Touching him was like realizing all you ever wanted
Was right there in front of you
Memorizing him was as easy as knowing
All the words to your old favorite song
Fighting with him was like trying to solve a crossword
And realizing there's no right answer
Regretting him was like wishing you never found out
That love could be that strong

[Chorus]
Losing him was blue like I'd never known
Missing him was dark grey, all alone
Forgetting him was like
Trying to know somebody you never met
But loving him was red
Oh, red
Burning red

[Bridge]
Remembering him comes in flashbacks and echoes
Tell myself it's time now, gotta let go
But moving on from him is impossible
When I still see it all in my head
In burning red
Loving him was red

[Chorus]
Oh, losing him was blue like I'd never known
Missing him was dark grey, all alone
Forgetting him was like
Trying to know somebody you never met
'Cause loving him was red
Yeah, yeah, red
We're burning red

[Breakdown]
And that's why he's spinning 'round in my head
Comes back to me, burning red
Yeah, yeah

[Outro]
His love was like driving a new Maserati
Down a dead-end street"
